,precision,recall,f1-score,support
Psyduck,1.0,0.5,0.6666666666666666,8.0
Raichu,0.6666666666666666,0.18181818181818182,0.2857142857142857,11.0
Rapidash,0.42857142857142855,0.6,0.5,10.0
Raticate,1.0,0.1111111111111111,0.2,9.0
Rattata,0.5,0.1111111111111111,0.18181818181818182,9.0
Rhydon,0.42857142857142855,0.6,0.5,10.0
Rhyhorn,0.8571428571428571,0.6666666666666666,0.75,9.0
Sandshrew,0.8333333333333334,0.5,0.625,10.0
Sandslash,0.6,0.3333333333333333,0.42857142857142855,9.0
Scyther,0.7272727272727273,0.6666666666666666,0.6956521739130435,12.0
Seadra,0.45454545454545453,0.5,0.47619047619047616,10.0
Seaking,1.0,0.6,0.75,10.0
Seel,0.4166666666666667,0.5,0.45454545454545453,10.0
Shellder,1.0,0.5,0.6666666666666666,10.0
Slowbro,1.0,0.2,0.3333333333333333,10.0
Slowpoke,1.0,0.4444444444444444,0.6153846153846154,9.0
Snorlax,0.5294117647058824,0.75,0.6206896551724138,12.0
Spearow,0.5384615384615384,0.6363636363636364,0.5833333333333334,11.0
Squirtle,0.3055555555555556,1.0,0.46808510638297873,11.0
Starmie,0.4444444444444444,0.8,0.5714285714285714,10.0
Staryu,0.4444444444444444,0.4,0.42105263157894735,10.0
Tangela,0.5263157894736842,0.9090909090909091,0.6666666666666666,11.0
Tauros,0.5263157894736842,0.9090909090909091,0.6666666666666666,11.0
Tentacool,1.0,0.4444444444444444,0.6153846153846154,9.0
Tentacruel,0.625,0.5,0.5555555555555556,10.0
Vaporeon,0.4444444444444444,0.6666666666666666,0.5333333333333333,12.0
Venomoth,1.0,0.9090909090909091,0.9523809523809523,11.0
Venonat,1.0,0.8,0.8888888888888888,10.0
Venusaur,0.4117647058823529,1.0,0.5833333333333334,14.0
Victreebel,0.4166666666666667,0.5,0.45454545454545453,10.0
Vileplume,0.5263157894736842,0.8333333333333334,0.6451612903225806,12.0
Voltorb,0.4230769230769231,1.0,0.5945945945945946,11.0
Vulpix,0.5454545454545454,0.6,0.5714285714285714,10.0
Wartortle,0.0,0.0,0.0,10.0
Weedle,0.9,0.9,0.9,10.0
Weepinbell,0.3,0.3333333333333333,0.3157894736842105,9.0
Weezing,0.875,0.7,0.7777777777777778,10.0
Wigglytuff,0.18518518518518517,0.8333333333333334,0.30303030303030304,12.0
Zapdos,0.625,0.9090909090909091,0.7407407407407407,11.0
Zubat,0.8,0.5,0.6153846153846154,8.0
accuracy,0.5342657342657343,0.5342657342657343,0.5342657342657343,0.5342657342657343
macro avg,0.6450586752395653,0.5122943722943724,0.5130220431179703,1430.0
weighted avg,0.6395082168188978,0.5342657342657343,0.5223938789518514,1430.0
